Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Madrid, Comunidad de;Ambos sexos;1981;75,79
Madrid, Comunidad de;Ambos sexos;1980;76,24
Madrid, Comunidad de;Ambos sexos;1979;75,85
Madrid, Comunidad de;Ambos sexos;1978;75,39
Madrid, Comunidad de;Ambos sexos;1977;75,1
Madrid, Comunidad de;Ambos sexos;1976;74,71
Madrid, Comunidad de;Ambos sexos;1975;74,58
Murcia, Región de;Ambos sexos;2020;82,27
Murcia, Región de;Ambos sexos;2019;82,63
Murcia, Región de;Ambos sexos;2018;82,65
Murcia, Región de;Ambos sexos;2017;82,41
Murcia, Región de;Ambos sexos;2016;82,52
Murcia, Región de;Ambos sexos;2015;82,22
Murcia, Región de;Ambos sexos;2014;82,47
Murcia, Región de;Ambos sexos;2013;82,28
Murcia, Región de;Ambos sexos;2012;81,72
Murcia, Región de;Ambos sexos;2011;81,71
Murcia, Región de;Ambos sexos;2010;81,62
Murcia, Región de;Ambos sexos;2009;80,9
Murcia, Región de;Ambos sexos;2008;80,43
Murcia, Región de;Ambos sexos;2007;80,3
